"topic","question_type","bank_row_index","row_identity","target_word","sentence","structure_id","tags","cefr","difficulty","variant_group","lemma_key","source"
"food","mc_quiz",26,"26 | cook | cook","cook","Can he cook?","abilities_modal","can_question|sports","a1","1","vg_6d4dff4a5dc42947","cook","sentence_bank"
"food","fill_blanks",26,"26 | cook | cook","cook","Can he cook?","abilities_modal","can_question|sports","a1","1","vg_6d4dff4a5dc42947","cook","sentence_bank"
"food","mc_quiz",28,"28 | bake | bake","bake","Can he bake?","abilities_modal","can_question|sports","a1","1","vg_6d4dff4a5dc42947","bake","sentence_bank"
"food","fill_blanks",28,"28 | bake | bake","bake","Can he bake?","abilities_modal","can_question|sports","a1","1","vg_6d4dff4a5dc42947","bake","sentence_bank"
"food","mc_quiz",39,"39 | cook | cook","cook","Can she cook?","abilities_modal","can_question|sports","a1","1","vg_48e860e71e46ad60","cook","sentence_bank"
"food","fill_blanks",39,"39 | cook | cook","cook","Can she cook?","abilities_modal","can_question|sports","a1","1","vg_48e860e71e46ad60","cook","sentence_bank"
"food","mc_quiz",41,"41 | bake | bake","bake","Can she bake?","abilities_modal","can_question|sports","a1","1","vg_48e860e71e46ad60","bake","sentence_bank"
"food","fill_blanks",41,"41 | bake | bake","bake","Can she bake?","abilities_modal","can_question|sports","a1","1","vg_48e860e71e46ad60","bake","sentence_bank"
"food","mc_quiz",59,"59 | eat | eat","eat","Can we eat now?","abilities_modal","can_question|classroom","a1","1","vg_79623b4b9dee8f33","eat","sentence_bank"
"food","fill_blanks",59,"59 | eat | eat","eat","Can we eat now?","abilities_modal","can_question|classroom","a1","1","vg_79623b4b9dee8f33","eat","sentence_bank"
"food","mc_quiz",95,"95 | rice | rice","rice","Do they like rice?","likes_preferences","do_question|like|plural","a1","2","vg_492a6223b2799aca","rice","sentence_bank"
"food","fill_blanks",95,"95 | rice | rice","rice","Do they like rice?","likes_preferences","do_question|like|plural","a1","2","vg_492a6223b2799aca","rice","sentence_bank"
"food","mc_quiz",96,"96 | pizza | pizza","pizza","Do they like pizza?","likes_preferences","do_question|like|plural","a1","2","vg_492a6223b2799aca","pizza","sentence_bank"
"food","fill_blanks",96,"96 | pizza | pizza","pizza","Do they like pizza?","likes_preferences","do_question|like|plural","a1","2","vg_492a6223b2799aca","pizza","sentence_bank"
"food","mc_quiz",97,"97 | food | food","food","Do they like food?","likes_preferences","do_question|like|plural","a1","2","vg_492a6223b2799aca","food","sentence_bank"
"food","fill_blanks",97,"97 | food | food","food","Do they like food?","likes_preferences","do_question|like|plural","a1","2","vg_492a6223b2799aca","food","sentence_bank"
"food","mc_quiz",104,"104 | juice | juice","juice","Do you like juice?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","juice","sentence_bank"
"food","fill_blanks",104,"104 | juice | juice","juice","Do you like juice?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","juice","sentence_bank"
"food","mc_quiz",105,"105 | milk | milk","milk","Do you like milk?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","milk","sentence_bank"
"food","fill_blanks",105,"105 | milk | milk","milk","Do you like milk?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","milk","sentence_bank"
"food","mc_quiz",106,"106 | pizza | pizza","pizza","Do you like pizza?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","pizza","sentence_bank"
"food","fill_blanks",106,"106 | pizza | pizza","pizza","Do you like pizza?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","pizza","sentence_bank"
"food","mc_quiz",107,"107 | fruit | fruit","fruit","Do you like fruit?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","fruit","sentence_bank"
"food","fill_blanks",107,"107 | fruit | fruit","fruit","Do you like fruit?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","fruit","sentence_bank"
"food","mc_quiz",108,"108 | pineapple | pineapple","pineapple","Do you like pineapple?","likes_preferences","do_question|like|food","a1","1","vg_16b04dd6ccbad166","pineapple","sentence_bank"
