sentence,target_word,acceptable_targets,variant_lexemes,structure_id,tags,cefr,difficulty,variant_group
Can he jump far?,jump,,run,abilities_modal,can_question|ability,a1,1,vg_4316f3a0a8700b13
Can he run far?,run,,jump,abilities_modal,can_question|ability,a1,1,vg_4316f3a0a8700b13
Can he play the guitar?,guitar,,piano;violin;cello;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_07d28d61f9417609
Can he play the piano?,piano,,guitar;violin;cello;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_07d28d61f9417609
Can he play the violin?,violin,,guitar;piano;cello;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_07d28d61f9417609
Can he play the cello?,cello,,guitar;piano;violin;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_07d28d61f9417609
Can he play the trumpet?,trumpet,,guitar;piano;violin;cello;flute,abilities_modal,can_question|music,a1,2,vg_07d28d61f9417609
Can he play the flute?,flute,,guitar;piano;violin;cello;trumpet,abilities_modal,can_question|music,a1,2,vg_07d28d61f9417609
Can she jump far?,jump,,run,abilities_modal,can_question|ability,a1,1,vg_295c7c3d5e4bb49c
Can she run far?,run,,jump,abilities_modal,can_question|ability,a1,1,vg_295c7c3d5e4bb49c
Can she play the guitar?,guitar,,piano;violin;cello;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_5de15f0c65829a46
Can she play the piano?,piano,,guitar;violin;cello;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_5de15f0c65829a46
Can she play the violin?,violin,,guitar;piano;cello;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_5de15f0c65829a46
Can she play the cello?,cello,,guitar;piano;violin;trumpet;flute,abilities_modal,can_question|music,a1,2,vg_5de15f0c65829a46
Can she play the trumpet?,trumpet,,guitar;piano;violin;cello;flute,abilities_modal,can_question|music,a1,2,vg_5de15f0c65829a46
Can she play the flute?,flute,,guitar;piano;violin;cello;trumpet,abilities_modal,can_question|music,a1,2,vg_5de15f0c65829a46
Can he swim?,swim,,run;jump;fly;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he run?,run,,swim;jump;fly;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he jump?,jump,,swim;run;fly;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he fly?,fly,,swim;run;jump;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
